stroke_rate,drag_coefficient,turn_time_ms,pool_length_m,lap_time_seconds
57.5,0.0,414.4,45,30.8
31.8,0.0,729.8,50,29.87
62.8,0.0,481.0,33,34.74
72.5,0.1,631.1,38,45.54
30.0,0.0,493.4,28,27.05
51.6,0.1,468.9,29,37.03
65.0,0.1,507.7,29,44.35
70.7,0.0,725.3,33,45.32
41.9,0.1,754.7,46,40.82
63.6,0.0,513.9,39,41.35
56.1,0.1,467.1,45,39.76
42.9,0.1,464.4,30,43.15
56.9,0.0,650.7,49,32.81
47.8,0.0,778.9,43,42.46
40.2,0.0,410.7,50,27.16
77.1,0.1,846.3,25,68.49
57.3,0.1,672.3,30,55.79
57.6,0.1,865.0,34,57.12
43.5,0.0,899.4,32,48.1
71.6,0.1,741.1,39,46.0
43.1,0.1,585.7,34,40.11
62.0,0.0,665.9,31,44.5
60.8,0.1,892.3,46,50.88
52.4,0.1,632.0,29,43.91
32.7,0.1,646.4,26,45.92
